"Teryt";"Kod kraju";"Województwo";"Kod gm.";"Gmina";"Typ gminy";"Okręg do Sejmu nr";"Okręg do Senatu nr";"Nr obwodu";"Adres obwodu";"Typ obwodu";"Przystosowany dla niepełnosprawnych";"Granice obwodu"
"140000";"KE";"mazowieckie";"149901";"Zagranica";;"";"44";"112";"Nairobi, Ambasada RP, Red Hill Road off Limuru Road 58 , Nairobi 00100 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Kenii"
"140000";"CO";"mazowieckie";"149901";"Zagranica";;"";"44";"113";"Bogota, Ambasada RP, Carrera 21 Bis 104 A-15, Bogota ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Kolumbii"
"140000";"KR";"mazowieckie";"149901";"Zagranica";;"";"44";"114";"Seul, Ambasada RP, Jongno-Gu, Sagan-Dong 70 , Seul 110-190 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Korei"
"140000";"KP";"mazowieckie";"149901";"Zagranica";;"";"44";"115";"Phenian, Ambasada RP, Taedonggang-Munsudong , Pyongyang ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Koreańska Republika Ludowo - Demokratyczna"
"140000";"";"mazowieckie";"149901";"Zagranica";;"";"44";"116";"Urosevac, Camp Bondsteel, budynek 2270 B/1, Urosevac , ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Kosowa"
"140000";"CU";"mazowieckie";"149901";"Zagranica";;"";"44";"117";"Hawana, Ambasada RP, Vedado, Calle G 452 19, Hawana 10400 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Kuby"
"140000";"KW";"mazowieckie";"149901";"Zagranica";;"";"44";"118";"Kuwejt, Ambasada RP, Al-Jabriya Block No 7, Street 3 House 20, Kuwejt ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Państwo Kuwejt"
"140000";"LB";"mazowieckie";"149901";"Zagranica";;"";"44";"119";"Bejrut, Ambasada RP, Av. President Suleiman Frangieh 52 , Baabda ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Libańska"
"140000";"LY";"mazowieckie";"149901";"Zagranica";;"";"44";"120";"Sharia Ben Ashour, Sharia Ben Ashour 61 P.O. BOX 519, Trypolis ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Libia"
"140000";"LT";"mazowieckie";"149901";"Zagranica";;"";"44";"121";"Wilno, Amasada RP, Wydział Konsularny, Antokol, Smelio g-ve 22a , Wilno LT-10323 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Litewska"
"140000";"LU";"mazowieckie";"149901";"Zagranica";;"";"44";"122";"Luksemburg, Ambasada RP, rue de Pulvermuhl 2 , Luksemburg L-2356 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Wielkie Królestwo Luksemburga"
"140000";"LV";"mazowieckie";"149901";"Zagranica";;"";"44";"123";"Ryga, Ambasada RP, Mednieku Iela 6b , Ryga 1010 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Łotewska"
"140000";"MK";"mazowieckie";"149901";"Zagranica";;"";"44";"124";"Skopje, Ambasada RP, Djuro Djaković 50 , Skopje 1000 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Macedonii"
"140000";"MY";"mazowieckie";"149901";"Zagranica";;"";"44";"125";"Kuala Lumpur, Ambasada RP, Off Jalan Damai, Lorong Damai 9 10, Kuala Lumpur 55000 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Malezja"
"140000";"MA";"mazowieckie";"149901";"Zagranica";;"";"44";"126";"Rabat, Ambasada RP, Avenue Oqbah 23 , Rabat- Agdal B.P. 425 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Marokańskie"
"140000";"MA";"mazowieckie";"149901";"Zagranica";;"";"44";"127";"Hotel KENZI EUROPA, Boulevard du 20 aout , Agadir B.P. 808 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Marokańskie"
"140000";"MX";"mazowieckie";"149901";"Zagranica";;"";"44";"128";"Meksyk, Ambasada RP, c. Cracovia , col. San Angel 40 , México DF 01000 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Meksykańskie Stany Zjednoczone"
"140000";"MD";"mazowieckie";"149901";"Zagranica";;"";"44";"129";"Kiszyniów, Ambasada RP, str. Grenoble 126 A , Chişinău MD-2019 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Mołdowy"
"140000";"NL";"mazowieckie";"149901";"Zagranica";;"";"44";"130";"Haga I, Ambasada RP, Alexanderstraat 25 , Den Haag 2514 JM ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Niderlandów"
"140000";"NL";"mazowieckie";"149901";"Zagranica";;"";"44";"131";"Haga II, Ambasada RP, Alexanderstraat 25 , Den Haag 2514 JM ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Niderlandów"
"140000";"NL";"mazowieckie";"149901";"Zagranica";;"";"44";"132";"Amsterdam, Dom Polski, Leliegracht 33 , Amsterdam 1016 GS ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Niderlandów"
"140000";"NL";"mazowieckie";"149901";"Zagranica";;"";"44";"133";"Brunssum, Dom Polski, Schinvelderstraat 19A , Brunssum 6441 TE ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Niderlandów"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"134";"Berlin, Ambasada RP, Lassenstrasse 19-21 , Berlin 14193 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"135";"Berlin, Zentrum für Historische Forschung Berlin der Polonischen Akademie der Wissenschaften, Majakowskiring 47 , Berlin 13156 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"136";"Hamburg I, Konsulat Generalny RP, Gründgensstrasse 20 , Hamburg 22309 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"137";"Hamburg II, Konsulat Generalny RP, Gründgensstrasse 20 , Hamburg 22309 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"138";"Brema, Konsulat Honorowy RP, Janusz-Korczak-Haus, Osterdeich 6 , Bremen 28203 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"139";"Kolonia I, Konsulat Generalny RP, Lindenallee 7 , Kolonia 50968 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
